Datetime,Resolution code,Total Load,Most recent forecast,Most recent P10,Most recent P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast
2022-12-31T23:45:00+01:00,PT15M,7493.37,7855.89,7255.88,8455.91,8562.13,7790.24,9334.03,8635.14
2022-12-31T23:30:00+01:00,PT15M,7608.6,7888.19,7285.71,8490.67,8597.34,7822.27,9372.41,8674.26
2022-12-31T23:15:00+01:00,PT15M,7708.41,7956.81,7349.08,8564.53,8672.14,7890.32,9453.95,8757.13
2022-12-31T23:00:00+01:00,PT15M,7810.04,8091.46,7473.45,8709.46,8818.85,8023.81,9613.89,8898
2022-12-31T22:45:00+01:00,PT15M,7746.09,8285.8,7681.98,8889.61,8647.13,7870.34,9423.92,8743.84
2022-12-31T22:30:00+01:00,PT15M,7770.16,8308.83,7703.34,8914.33,8671.18,7892.23,9450.13,8762.92
2022-12-31T22:15:00+01:00,PT15M,7865.83,8369.15,7759.26,8979.04,8734.1,7949.5,9518.7,8833.43
2022-12-31T22:00:00+01:00,PT15M,7794.19,8357.36,7748.33,8966.39,8721.8,7938.3,9505.29,8820.89
2022-12-31T21:45:00+01:00,PT15M,7744.72,8402.97,7798.49,9007.45,8556.41,7778.78,9334.05,8784.54
2022-12-31T21:30:00+01:00,PT15M,7810.68,8384.18,7781.06,8987.31,8537.36,7761.46,9313.26,8785.03
2022-12-31T21:15:00+01:00,PT15M,7865.13,8454.34,7846.17,9062.52,8608.78,7826.39,9391.17,8857.92
2022-12-31T21:00:00+01:00,PT15M,7963.91,8513.83,7901.38,9126.28,8669.43,7881.53,9457.34,8915.25
2022-12-31T20:45:00+01:00,PT15M,8083.01,8323.88,7724.42,8923.34,9056.14,8284.95,9827.32,9211.14
2022-12-31T20:30:00+01:00,PT15M,8134.86,8411.18,7805.44,9016.93,9151.15,8371.88,9930.42,9304.83
2022-12-31T20:15:00+01:00,PT15M,8170.54,8444.9,7836.72,9053.07,9187.78,8405.39,9970.17,9353.21
